searchTerms,rank,title,snippet,displayLink,link,queryTime,totalResults,cacheId,formattedUrl,htmlFormattedUrl,htmlSnippet,htmlTitle,kind,pagemap,cseName,count,startIndex,inputEncoding,outputEncoding,safe,cx,siteSearch,siteSearchFilter,searchTime,formattedSearchTime,formattedTotalResults
flights to hong kong,1,"$462 Flights to Hong Kong, China (HKG) - TripAdvisor","Cheap Flights to Hong Kong: Enter your dates once and have TripAdvisor search 
multiple sites to find the best prices on Hong Kong flights.",www.tripadvisor.com,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html,2018-11-21 03:37:03.767770+00:00,301000,5jsjhmxgxvkJ,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_ Airfares.html,https://www.tripadvisor.com/<b>Flights</b>-g294217-<b>Hong</b>_<b>Kong</b>-Cheap_Discount_ Airfares.html,"Cheap <b>Flights to Hong Kong</b>: Enter your dates once and have TripAdvisor search <br>
multiple sites to find the best prices on <b>Hong Kong flights</b>.","$462 <b>Flights to Hong Kong</b>, China (HKG) - TripAdvisor",customsearch#result,"{'cse_thumbnail': [{'width': '259', 'height': '194', 'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTFPfqt2KmCM_CtwPgwv2Xlh-2VG3vXMCckivdJ1dbRXv5ial8Bycdn3m2q'}], 'metatags': [{'theme-color': '#00a680', 'format-detection': 'telephone=no', 'og:title': '$462 Flights to Hong Kong, China (HKG) - TripAdvisor', 'og:description': 'Cheap Flights to Hong Kong: Enter your dates once and have TripAdvisor search multiple sites to find the best prices on Hong Kong flights.', 'og:image': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg', 'og:image:width': '550', 'og:image:height': '412', 'og:type': 'website', 'og:url': 'http://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html', 'og:site_name': 'TripAdvisor', 'fb:admins': '100000982334629', 'fb:app_id': '162729813767876', 'fb:pages': '5863091683', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=no', 'apple-itunes-app': 'app-id=284876795'}], 'breadcrumb': [{'url': 'Asia', 'title': 'Asia'}, {'url': 'China', 'title': 'China'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}, {'url': 'Hong Kong Flights', 'title': 'Hong Kong Flights'}], 'cse_image': [{'src': 'https://media-cdn.tripadvisor.com/media/photo-s/01/31/34/10/tsim-sha-tsui-waterfront.jpg'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.tripadvisor.com,i,0.491391,0.49,"301,000"
flights to hong kong,1,"Cheap Flights to Hong Kong SAR, Asia $307.69 in 2018 | Expedia","Expedia Add-On Advantage: Book a flight & unlock up to 43% off select hotels. 
Terms apply. Travel the world better. Flights to Hong Kong SAR from airlines 
such ...",www.expedia.com,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2018-11-21 03:37:03.779397+00:00,616000,iEmRbX0P8CAJ,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263. Travel-Guide-Flights,https://www.expedia.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263. Travel-Guide-<b>Flights</b>,"Expedia Add-On Advantage: Book a <b>flight</b> &amp; unlock up to 43% off select hotels. <br>
Terms apply. Travel the world better. <b>Flights to Hong Kong</b> SAR from airlines <br>
such&nbsp;...","Cheap <b>Flights to Hong Kong</b> SAR, Asia $307.69 in 2018 | Expedia",customsearch#result,"{'metatags': [{'oip.set': 'false', 'oip.yes': 'false', 'oip.no': 'false', 'oip.cantrack': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'ewe:page-epoch': '1542747159795', 'ewe:page': 'FLEX', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'flex:template-id': '1-en_US-Travel-Guide-Flights', 'flex:template-fm-id': '1091', 'flex:template-version': '56', 'essclientid': 'flex.flight.Flight-Destinations', 'og:title': 'Cheap Flights to Hong Kong SAR, Asia $307.69 in 2018 | Expedia', 'og:type': 'website', 'og:description': 'Expedia Add-On Advantage: Book a flight & unlock up to 43% off select hotels. Terms apply. Travel the world better. Flights to Hong Kong SAR from airlines such as American Airlines, Delta, United, JetBlue, Frontier, and more. Book your flight + hotel to save up to 100% on your flight.', 'og:locale': 'en_US', 'og:site_name': 'Expedia.com', 'og:url': 'https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'listitem': [{'item': 'Expedia.com', 'name': 'Expedia.com', 'url': '/', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'url': '/Flights', 'position': '2'}, {'name': 'Flights to Hong Kong SAR', 'url': '/Hong-Kong-SAR-Hotels.d178263.Travel-Guide-Hotels', 'position': '1'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.expedia.com,i,0.458425,0.46,"616,000"
flights to hong kong,1,Cheap Flights to Hong Kong (HKG) from $402 - KAYAK,"Find flights to Hong Kong on XiamenAir, China Eastern, Air China and more. Fly 
round-trip from San Francisco from $402, from New York from $433, from ...",www.kayak.com,https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG,2018-11-21 03:37:03.792234+00:00,75500,W42baDpas_gJ,https://www.kayak.com/flight-routes/United.../Hong-Kong-Intl-HKG,https://www.kayak.com/<b>flight</b>-routes/United.../<b>Hong</b>-<b>Kong</b>-Intl-HKG,"Find <b>flights to Hong Kong</b> on XiamenAir, China Eastern, Air China and more. <b>Fly</b> <br>
round-trip from San Francisco from $402, from New York from $433, from&nbsp;...",Cheap <b>Flights to Hong Kong</b> (HKG) from $402 - KAYAK,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2TGuhU4BQGEAzqzd0JENgdlvVTL0_VD3l2HWQAv1P1r7ddVnTHXKx7Mga'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'kayak_split_flight_routes_xp': '1', 'msvalidate.01': 'F474AA342B64B17CDE53F5C5D4C07C7A', 'r9-version': 'R441b', 'r9-built': '20181107.061117', 'r9-rendered': '20181115.045202.EST', 'og:image': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong (HKG) from $402 - KAYAK', 'og:type': 'website', 'og:description': 'Find flights to Hong Kong on XiamenAir, China Eastern, Air China and more. Fly round-trip from San Francisco from $402, from New York from $433, from Portland from $488, from Honolulu from $506, from Los Angeles from $409. Search for Hong Kong flights on KAYAK now to find the best deal.', 'og:url': 'https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG', 'og:site_name': 'KAYAK', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@KAYAK', 'twitter:creator': '@KAYAK', 'twitter:title': 'Cheap Flights to Hong Kong (HKG) from $402 - KAYAK', 'twitter:description': 'Find flights to Hong Kong on XiamenAir, China Eastern, Air China and more. Fly round-trip from San Francisco from $402, from New York from $433, from Portland from $488, from Honolulu from $506, from Los Angeles from $409. Search for Hong Kong flights on KAYAK now to find the best deal.', 'twitter:image:src': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route,unknown'}], 'breadcrumb': [{'url': 'Flights', 'title': 'Flights'}, {'url': 'Worldwide', 'title': 'Worldwide'}, {'url': 'Asia', 'title': 'Asia'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}], 'cse_image': [{'src': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=1200&height=630&crop=false'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.kayak.com,i,0.191302,0.19,"75,500"
flights to hong kong,1,Cheap Flights to Hong Kong International from $385 in 2019 ...,"The Magnificent City of Hong Kong. Check for cheap tickets to Hong Kong and 
dip into one of the world's busiest and energetic business centers, perfect ...",www.skyscanner.com,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-international-airport.html,2018-11-21 03:37:03.804947+00:00,5420,EI78TI4Q1qYJ,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong- international-airport.html,https://www.skyscanner.com/<b>flights-to/hk</b>g/cheap-<b>flights-to-hong</b>-<b>kong</b>- international-airport.html,"The Magnificent City of <b>Hong Kong</b>. Check for cheap tickets to <b>Hong Kong</b> and <br>
dip into one of the world&#39;s busiest and energetic business centers, perfect&nbsp;...",Cheap <b>Flights to Hong Kong</b> International from $385 in 2019 ...,customsearch#result,"{'cse_thumbnail': [{'width': '200', 'height': '200', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTHVVXbF7p1m399bzNFk2cxXDSkMqbDuVW2_lOQ907WnUyiUSMmhs_rTgI'}], 'product': [{'name': 'Cheap Tickets to Hong Kong - Compare Cheap Flights to Hong Kong'}], 'metatags': [{'viewport': 'width=device-width, initial-scale = 1.0, maximum-scale=1.0, user-scalable=no', 'theme-color': '#008ca8', 'msapplication-tilecolor': '#21c4d9', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'y_key': '3ccd97fca3bc5b05', 'msapplication-id': 'App', 'msapplication-packagefamilyname': 'Skyscanner.Skyscanner_623c9he0pwcym', 'msapplication-minversion': '1.2.0.0', 'og:title': 'Found the cheapest flights to Hong Kong International.', 'og:url': 'https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-international-airport.html?utm_medium=social&utm_campaign=addthis&utm_source=facebook_us', 'og:image': 'https://www.skyscanner.com/images/opengraph_v1.png', 'og:description': 'Skyscanner compares hundreds of airlines worldwide for free. It finds the cheapest flights fast: saves you time, saves you money.', 'og:type': 'product', 'place:location:latitude': '22.316667', 'place:location:longitude': '113.916667'}], 'hproduct': [{'fn': 'Cheap Tickets to Hong Kong - Compare Cheap Flights to Hong Kong'}], 'cse_image': [{'src': 'https://www.skyscanner.com/images/opengraph_v1.png'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.skyscanner.com,i,0.164326,0.16,"5,420"
flights to hong kong,1,Airlines that fly to Hong Kong International,"Airlines with flights to Hong Kong International listed at Skyscanner. The fastest 
way to find the cheapest low cost airline prices. Accurate information for budget, ...",www.skyscanner.net,https://www.skyscanner.net/flights-to/hkg/airlines-that-fly-to-hong-kong-international-airport.html,2018-11-21 03:37:03.816979+00:00,5660,CoJdc0tX5OQJ,https://www.skyscanner.net/flights-to/hkg/airlines-that-fly-to-hong-kong- international-airport.html,https://www.skyscanner.net/<b>flights-to/hk</b>g/airlines-that-<b>fly-to-hong</b>-<b>kong</b>- international-airport.html,"Airlines with <b>flights to Hong Kong</b> International listed at Skyscanner. The fastest <br>
way to find the cheapest low cost airline prices. Accurate information for budget,&nbsp;...",Airlines that <b>fly to Hong Kong</b> International,customsearch#result,"{'cse_thumbnail': [{'width': '200', 'height': '200', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQwJ7rz_K1OMjPsqqDB205BJ9-b_0goeGaNJ5I77d-zJJzZxiYY--ci6LYv'}], 'metatags': [{'viewport': 'width=device-width, initial-scale = 1.0, maximum-scale=1.0, user-scalable=no', 'theme-color': '#008ca8', 'msapplication-tilecolor': '#21c4d9', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'y_key': '3ccd97fca3bc5b05', 'msapplication-id': 'App', 'msapplication-packagefamilyname': 'Skyscanner.Skyscanner_623c9he0pwcym', 'msapplication-minversion': '1.2.0.0', 'og:title': 'Found a useful list of all airlines that fly to Hong Kong International!', 'og:url': 'https://www.skyscanner.net/flights-to/hkg/airlines-that-fly-to-hong-kong-international-airport.html?utm_medium=social&utm_campaign=addthis&utm_source=facebook_uk', 'og:image': 'https://www.skyscanner.net/images/opengraph_v1.png', 'og:description': 'Skyscanner compares hundreds of airlines worldwide for free. It finds the cheapest flights fast: saves you time, saves you money.', 'og:type': 'product', 'place:location:latitude': '22.316667', 'place:location:longitude': '113.916667'}], 'cse_image': [{'src': 'https://www.skyscanner.net/images/opengraph_v1.png'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.skyscanner.net,i,0.153713,0.15,"5,660"
flights to hong kong,1,Cheap Flights to Hong Kong - Search Deals on Airfare to Hong ...,"Looking for cheap flights to Hong Kong from your destination? Search for airfare 
and flight ticket deals at cheapflights.com and book your next flight today.",www.cheapflights.com,https://www.cheapflights.com/flights-to-hong-kong/,2018-11-21 03:37:03.829157+00:00,37500,INTDzvyAb2IJ,https://www.cheapflights.com/flights-to-hong-kong/,https://www.cheap<b>flights</b>.com/<b>flights-to-hong</b>-<b>kong</b>/,"Looking for cheap <b>flights to Hong Kong</b> from your destination? Search for airfare <br>
and <b>flight</b> ticket deals at cheapflights.com and book your next <b>flight</b> today.",Cheap <b>Flights to Hong Kong</b> - Search Deals on Airfare to Hong ...,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTrnZaIxdGLxEJ5BzSQQJkQVHqPw20iUWamDtHzCekPCmSfYEO28XT48Zw9'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'r9-version': 'R441b', 'r9-built': '20181107.061117', 'r9-rendered': '20181112.161522.EST', 'og:image': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'og:type': 'website', 'og:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'og:url': 'https://www.cheapflights.com/flights-to-hong-kong/', 'og:site_name': 'Cheapflights', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@Cheapflights', 'twitter:creator': '@Cheapflights', 'twitter:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'twitter:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'twitter:image:src': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route-cf,splits'}], 'breadcrumb': [{'url': 'Home', 'title': 'Home'}, {'url': 'Flights', 'title': 'Flights'}, {'url': 'Asia', 'title': 'Asia'}], 'cse_image': [{'src': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=1200&height=630&crop=false'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.cheapflights.com,i,0.162144,0.16,"37,500"
flights to hong kong,1,Cheap Flights To Hong Kong | CheapOair,"Cheap Flights to Hong Kong (HKG) starting at $430 Search hundreds of airlines 
for the cheapest tickets to Hong Kong, Hong Kong!",www.cheapoair.com,https://www.cheapoair.com/flights/cheap-flights-to-hong-kong-hkg-hong-kong,2018-11-21 03:37:03.841763+00:00,4020,GoJWkIHyriMJ,https://www.cheapoair.com/flights/cheap-flights-to-hong-kong-hkg-hong- kong,https://www.cheapoair.com/<b>flights</b>/cheap-<b>flights-to-hong</b>-<b>kong</b>-hkg-<b>hong</b>- <b>kong</b>,"Cheap <b>Flights to Hong Kong</b> (HKG) starting at $430 Search hundreds of airlines <br>
for the cheapest tickets to <b>Hong Kong</b>, <b>Hong Kong</b>!",Cheap <b>Flights To Hong Kong</b> | CheapOair,customsearch#result,"{'metatags': [{'copyright': 'Copyright 2018 by Cheapoair.com', 'author': 'CA-GlobalCMS', 'resource-type': 'DOCUMENT', 'distribution': 'GLOBAL', 'rating': 'GENERAL', 'format-detection': 'telephone=no', 'viewport': 'width=device-width, initial-scale=1.0'}], 'breadcrumb': [{'url': 'CheapOair', 'title': 'CheapOair'}, {'url': 'Flights', 'title': 'Flights'}, {'url': 'Asia', 'title': 'Asia'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.cheapoair.com,i,0.155812,0.16,"4,020"
flights to hong kong,1,Flights to Hong Kong SAR (HKG) on Orbitz.com,"Flights to Hong Kong SAR (HKG): Search on Orbitz for cheap Hong Kong SAR 
flights, airlines, and airfares to Hong Kong SAR.",www.orbitz.com,https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2018-11-21 03:37:03.854391+00:00,27100,b46GCa9COrMJ,https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel- Guide-Flights,https://www.orbitz.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263.Travel- Guide-<b>Flights</b>,"<b>Flights to Hong Kong</b> SAR (HKG): Search on Orbitz for cheap <b>Hong Kong</b> SAR <br>
<b>flights</b>, airlines, and airfares to <b>Hong Kong</b> SAR.",<b>Flights to Hong Kong</b> SAR (HKG) on Orbitz.com,customsearch#result,"{'metatags': [{'oip.set': 'false', 'oip.yes': 'false', 'oip.no': 'false', 'oip.cantrack': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'ewe:page-epoch': '1542752104169', 'ewe:page': 'FLEX', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'flex:template-id': '70201-en_US-Travel-Guide-Flights-flow-mobile', 'flex:template-fm-id': '1352', 'flex:template-version': '38', 'essclientid': 'flex.flight.Flight-Destinations', 'og:title': 'Flights to Hong Kong SAR (HKG) on Orbitz.com', 'og:type': 'website', 'og:description': 'Flights to Hong Kong SAR (HKG): Search on Orbitz for cheap Hong Kong SAR flights, airlines, and airfares to Hong Kong SAR', 'og:locale': 'en_US', 'og:site_name': 'Orbitz.com', 'og:url': 'https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'listitem': [{'item': 'Orbitz.com', 'name': 'Orbitz.com', 'url': '/', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'url': '/Flights', 'position': '2'}, {'name': 'Flights to Hong Kong SAR', 'url': 'http://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'map': [{'url': 'https://maps.google.com/maps?ll=22.339007,114.155104&z=11'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.orbitz.com,i,0.419385,0.42,"27,100"
flights to hong kong,1,Flights to Hong Kong Cheap Air Tickets @Rs.20000 OFF ...,"Book cheap International flights to Hong Kong at MakeMyTrip India. Best airfares 
deals on Hong Kong airlines tickets. Online booking of cheap Hong Kong flight ...",www.makemytrip.com,https://www.makemytrip.com/international-flights/hong_kong-flight-tickets.html,2018-11-21 03:37:03.865999+00:00,208000,W6rUWd5B55IJ,https://www.makemytrip.com/...flights/hong_kong-flight-tickets.html,https://www.makemytrip.com/...<b>flights</b>/<b>hong</b>_<b>kong</b>-<b>flight</b>-tickets.html,"Book cheap International <b>flights to Hong Kong</b> at MakeMyTrip India. Best airfares <br>
deals on <b>Hong Kong</b> airlines tickets. Online booking of cheap <b>Hong Kong flight</b>&nbsp;...",<b>Flights to Hong Kong</b> Cheap Air Tickets @Rs.20000 OFF ...,customsearch#result,"{'metatags': [{'mobileoptimized': 'width', 'handheldfriendly': 'true', 'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.makemytrip.com,i,0.411315,0.41,"208,000"
flights to hong kong,1,Flights to Hong Kong,"It's a great time to enjoy low fares on flights to Hong Kong (HKG) from the United 
Arab Emirates. With a growing economy Hong Kong offers world class ...",www.lufthansa.com,https://www.lufthansa.com/flight/ae/flight-hong_kong,2018-11-21 03:37:03.880175+00:00,5690,-K29TTD_Mu0J,https://www.lufthansa.com/flight/ae/flight-hong_kong,https://www.lufthansa.com/<b>flight</b>/ae/<b>flight</b>-<b>hong</b>_<b>kong</b>,"It&#39;s a great time to enjoy low fares on <b>flights to Hong Kong</b> (HKG) from the United <br>
Arab Emirates. With a growing economy <b>Hong Kong</b> offers world class&nbsp;...",<b>Flights to Hong Kong</b>,customsearch#result,"{'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'language': 'en', 'distribution': 'global', 'publisher': 'Lufthansa AG', 'copyright': 'Lufthansa AG', 'x-portal': 'LH', 'x-portal-site': 'AE', 'x-portal-language': 'en', 'x-portal-taxonomy': 'Homepage2014', 'wt.cg_n': 'SEO', 'wt.cg_s': 'content_dest', 'dcsext.taxonomy': 'SEO>content_dest', 'dcsext.portal': 'LH', 'dcsext.language': 'en', 'dcsext.nodeid': 'bS-14-content_dest-1219', 'dcsext.custstatus': 'ANONYMOUS', 'position': '1'}]}",PySearch,1,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,www.lufthansa.com,i,0.181025,0.18,"5,690"
